nombre,conteo_productos,envios,ventas
Cerise Jumpsuit solid,15,51855,22519
Cerise Playsuit solid,33,64617,27561
Cerise Playsuit tokyo,6,14316,5719
Cerise Shirt dots,6,11808,4994
Cerise Shirt print,3,5563,2310
Cerise Short summer,9,16494,7193
Cerise Skirt karai,3,7939,2464
Cerise Skirt long,3,3716,1210
Cerise Skirt pistachio,3,9918,2705
Cerise Top flower,6,12580,4862
Cerise Top juno,3,6003,2398
Cerise Top mykonos,3,10051,4683
Cerise Top okla,15,27138,12866
Cerise Top paris,10,20606,8094
Chain Dress summ,6,8203,2442
Chambray Shirt collar,5,4003,2156
Chanel Bag closet,3,12447,5167
Charior Skirt geo,4,8752,4156
Charis Bag bohck,1,4398,1693
Charis Bag closet,5,9456,4487
Charis Shirt film,5,6795,1870
Charlene Dress easy,4,4728,1408
Charles Skirt welsh,3,6092,2617
Charlie Sweater shine,8,10050,4180
Charlior Pant stripes,9,17637,6226
Charlior Skirt dalmata,4,9148,4068
Charlior Skirt mustard,3,4112,1870
Charls Pant jcz,6,4246,2310
Check Sweater button,6,1276,374
Checks Jacket nana,8,10864,4026
Chelsea Dress denim,5,1606,572
Chelsea Jeans oasis,7,1892,880
Chelsea Skirt boho,4,3585,1100
Chenilla Sweater clar,15,8732,2266
Cherry Jacket trench,6,14888,2002
Cherry Pant plain T. L C. brown,25,53438,22126
Cherry Skirt solid,10,21905,6864
Cherry Sweater print,2,1210,484
Cherry Sweater tie,2,1936,374
Cherry Top night,3,1320,352
Cherry Top paris,12,36834,14624
Chic Tshirt beach,8,5741,1452
Chino Pant belt,11,6050,3124
Chino Pant slim,29,24986,8976
Chloe Jeans smoke,5,2816,1122
Chocolate Skirt box,7,2816,902
Christmas Sweater ware,6,638,198
Chrysam Shirt print,5,10623,5365
Chunky Cardigan long,5,1540,572
Ciao Sweater eslogan,4,3585,1518
Cio Shirt blue,5,4289,1408
Circle Shirt colors,4,8973,4090
City Jeans toxik,5,2090,770
Clara Jeans denim,7,11961,5962
Clara Skirt mini,7,1100,506
Clarise Bag bohck,1,5520,1979
Clarise Shirt solid,9,29930,11613
Classic Cardigan buttons,7,2112,770
Classic Jacket blazer,4,4113,1078
Classic Skirt checks,3,7917,2947
Claudia Scarf check,1,1539,858
Claudine Jacket maca,5,2574,462
Clea T-shirt deeluxe,5,1848,924
Clean Short pant,7,2574,968
Clio Dress film,5,5147,1606
Cloanimal Scarf boiled,3,18473,7697
Clochecks Scarf washed,4,12843,4641
Clociguena Dress modal,4,8665,3189
Cloclassic Scarf raising,7,46774,17197
Clocollage Dress modal,5,8554,2947
Clocollage Shirt modal,5,4683,2002
Clocollage Top modal,5,5763,2969
Clocollages Top modal,5,6905,3014
Clofirma Dress modal,5,8554,2706
Clofirma Skirt modal,5,14030,5036
Clofirmamen Dress modal,5,11568,4355
Clograndjardin Shirt modal,5,5432,2838
Clogross Scarf raising,6,43125,15570
Cloimpala Shirt modal,5,5014,2178
Clojardin Shirt modal,5,5388,2750
Clojardin T-shirt modal,5,6993,2749
Cloross Jacket lamb,15,31889,9394
Closet Bag leather,2,6048,1408
Closet Bag nice,4,14603,4136
Closet Dress dakota,5,7674,1870
Closet Dress manhattan,5,8840,2024
Closet Dress michigan,5,6751,2464
Closet Dress texas,5,7739,2486
Closet Dress vania,5,6926,2640
Closet Jacket arizona,3,6092,1804
Closet Jacket candem,3,6993,2112
Closet Jacket colorado,3,3035,660
Closet Jacket illinois,3,5432,2068
Closet Jacket ohio,3,4200,924
Closet Pant oklahoma,5,6597,2200
Closet Shirt delaware,5,6641,2574
Closet Shirt iowa,5,6201,2332
Closet Shirt maine,5,7147,2244
Closet Shirt maryland,5,6290,2354
Closet Skirt kansas,5,6488,2684
Closet Skirt mexico,5,6135,2574
