nivel,tasa_acept,contr_ventas
3,43.12,0.018388
3,41.4,0.027791
1,27.34,0.00685
3,46.65,0.028752
2,42.33,0.039338
3,40.87,0.028948
1,33.9,0.015853
1,27.93,0.023877
2,28.57,0.000391
1,23.75,0.003719
3,33.33,0.004501
2,35.34,0.040121
1,27.65,0.010764
1,29.74,0.010764
2,35.96,0.008024
2,38.94,0.042665
1,41.13,0.009981
1,38.71,0.009394
1,25.98,0.019375
2,44.81,0.058126
2,44.85,0.027987
2,51.27,0.027987
2,34.36,0.019571
1,51.39,0.007241
2,42.08,0.023877
3,51.13,0.013504
1,40.1,0.034054
1,45.57,0.007046
1,23.23,0.007046
2,41.38,0.043644
1,39.34,0.014091
2,35.58,0.013504
1,52.72,0.018984
1,47.44,0.036207
2,39.5,0.02466
2,38.24,0.007633
2,27.12,0.006263
2,42.99,0.009003
3,62.14,0.012526
2,25.22,0.016636
1,33.9,0.003914
2,33.33,0.004501
2,47.84,0.034445
1,29.49,0.052842
1,29.71,0.015461
1,32.76,0.011156
2,44.6,0.035424
1,33.33,0.008807
3,51.56,0.006458
2,21.18,0.003523
1,38.47,0.037185
2,35.38,0.028183
1,50.82,0.018788
3,36.87,0.012917
1,38.54,0.007241
3,46.56,0.022498
3,40.91,0.018005
1,47.43,0.030335
1,36.42,0.014678
2,22.84,0.009786
1,26.79,0.011743
3,38.71,0.004697
1,30.79,0.063802
1,37.99,0.048537
1,44.53,0.011938
1,40.78,0.360955
1,42.03,0.239454
1,41.63,0.256694
1,45.4,0.022115
2,26.38,0.088835
2,55.85,0.02055
2,39.2,0.01918
1,40.01,0.015266
3,38.82,0.025443
2,38.98,0.023485
2,45.05,0.053429
2,50.0,0.011547
2,45.45,0.010764
3,36.11,0.011938
2,36.23,0.078676
1,29.56,0.007633
1,37.84,0.01096
1,41.33,0.012134
2,49.21,0.012134
2,43.94,0.011351
2,54.2,0.013896
1,48.49,0.021724
2,50.21,0.07848
1,36.02,0.030727
1,46.65,0.032488
2,28.48,0.008807
2,25.63,0.050885
2,27.2,0.012134
1,31.1,0.016244
1,35.61,0.017418
2,20.75,0.002153
2,23.14,0.02192
2,40.21,0.007633
2,36.73,0.007046
1,31.91,0.008807
3,47.7,0.038537
3,37.85,0.02192
2,53.54,0.041687
2,23.12,0.010764
2,41.31,0.020941
2,44.13,0.018397
2,35.47,0.017418
2,50.38,0.013113
2,47.12,0.041295
1,50.24,0.063793
3,38.24,0.020354
1,26.3,0.009003
1,35.12,0.051472
1,53.27,0.011156
2,42.16,0.015266
1,36.96,0.006654
1,42.21,0.012721
2,47.69,0.02192
2,50.0,0.008416
2,43.77,0.03288
2,22.22,0.004697
2,51.22,0.01233
1,16.25,0.007437
3,31.74,0.02192
